lhs,rhs,size,support,confidence,lift,count,method,id,oddsratio
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,71,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,72,NA
"aadA16,aadA5,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,73,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,74,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,75,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,76,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,77,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,78,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,79,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,80,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,81,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,mph(A),rmtB1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,82,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,83,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,84,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,85,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,86,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,87,NA
"aadA16,aadA5,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,88,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,89,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,90,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,91,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,92,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,93,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,94,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,95,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,96,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,qacEdelta1,rmtB1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,97,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,98,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,99,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,100,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,101,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,102,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,dfrA17,floR,fosA3,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,103,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,104,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,105,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,106,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,107,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,108,NA
"aadA16,aadA5,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,109,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,110,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,111,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,112,NA
"aadA16,aadA5,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul1,sul2",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,113,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,114,NA
"aadA16,aadA5,aph(3'')-Ib,aph(6)-Id,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,115,NA
"aadA16,aadA5,aph(3'')-Ib,arr-3,blaCTX-M-55,blaEC,blaNDM-1,ble,catA1,floR,fosA3,mph(A),qacEdelta1,rmtB1,sul2,tet(A)",mcr,17,3.022713533120304e-4,1,56.96924969249692,14,arm,116,NA
