lhs,rhs,size,support,confidence,lift,count,method,id,oddsratio,pubmedids
"aac(3)-IV,aadA1,aadA2,blaCTX-M-14,blaEC,cmlA1,fosA3,qacL,sul2,sul3",mcr,11,9.931773037395284e-4,0.9787234042553191,55.75713799691188,45.99999999999999,arm,21,NA,"26194736, 26194736, 26194736, 26194736, 26194736"
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,oqxA,oqxB,qacL,sul3",mcr,11,0.001101131358493825,0.85,48.423862238622384,51.00000000000001,arm,22,NA,"29535301, 29535301"
"aadA2,blaEC,bleO,cmlA1,dfrA12,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.0010579497365921064,0.8596491228070176,48.97356552512893,49,arm,23,NA,"29535301, 29535301"
"blaEC,bleO,cmlA1,dfrA12,floR,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.0010147681146903877,0.9215686274509803,52.50107324602658,47,arm,24,NA,"29535301, 29535301, 29535301, 29535301"
"aadA1,blaEC,bleO,cmlA1,dfrA12,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.001101131358493825,0.864406779661017,49.24460566639565,51.00000000000001,arm,25,NA,"29535301, 29535301, 29535301, 29535301"
"aadA2,blaEC,bleO,cmlA1,floR,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.001036358925641247,0.9230769230769231,52.58699971615101,48,arm,26,NA,"29535301, 29535301, 29535301"
"aadA1,aadA2,blaEC,bleO,cmlA1,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.0011443129803955436,0.8688524590163934,49.497872683644864,53,arm,27,NA,"29535301, 29535301, 29535301"
"aadA1,blaEC,bleO,cmlA1,floR,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.0010579497365921064,0.9245283018867925,52.669683677968855,49,arm,28,NA,"29535301, 29535301, 29535301, 29535301, 29535301, 29535301, 29535301"
"aadA1,aadA2,blaEC,bleO,cmlA1,dfrA12,oqxA,oqxB,qacL,tet(A)",mcr,11,0.0010579497365921064,0.8596491228070176,48.97356552512893,49,arm,29,NA,"29535301, 29535301"
"aadA1,aadA2,blaEC,bleO,cmlA1,floR,oqxA,oqxB,qacL,tet(A)",mcr,11,9.931773037395284e-4,0.92,52.411709717097175,45.99999999999999,arm,30,NA,"29535301, 29535301, 29535301"
"aadA2,blaEC,cmlA1,dfrA12,floR,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,9.931773037395284e-4,0.8846153846153846,50.39587472797804,45.99999999999999,arm,31,NA,"26194736, 29535301, 29535301, 29535301, 29535301"
"aadA1,aadA2,blaEC,cmlA1,dfrA12,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.001165903791346403,0.84375,48.06780442804428,54,arm,32,NA,"26194736, 29535301, 29535301, 29535301"
"aadA1,blaEC,cmlA1,dfrA12,floR,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,0.0010147681146903877,0.8867924528301887,50.51990067070482,47,arm,33,NA,"26194736, 29535301, 29535301, 29535301, 29535301, 29535301"
"aadA1,aadA2,aph(3')-Ia,blaEC,cmlA1,oqxA,oqxB,qacL,sul3,tet(A)",mcr,11,9.931773037395284e-4,0.7666666666666667,43.67642476424764,45.99999999999999,arm,34,NA,"26194736, 29535301, 29535301, 29535301"
