"","Odds.Ratio"
"catA1",-2.88899817851011
"catA2",-6.01626014967927
"catA3",-9.58816017908779
"catB",-8.89494444629581
"catB1",-10.2813416269391
"catB11",-9.58816017909287
"catB2",-8.89494444630042
"catB3",-4.6405580874112
"catB8",-10.2813416269386
"cfr",-9.58816017908779
"clpK",-6.45115704670685
"cmlA",-7.50823877463582
"cmlA1",-3.75087276036802
"cmlA4",-10.2813416269416
"cmlA5",-6.49567744579636
"cmlA6",-7.33628566002091
"cphA",-9.58816017908871
"cphA1",-10.2813416269356
"dfr7",-8.08384287981644
"dfrA",-6.94821146418514
"dfrA1",-2.56938592196383
"dfrA10",-9.18266080287623
"dfrA12",-3.30411257849807
"dfrA14",-3.50295234296582
"dfrA15",-6.29053980338802
"dfrA16",-7.28495807737391
"dfrA17",-2.92882317066682
"dfrA19",-7.33628566001426
"dfrA21",-9.58816017908756
"dfrA22",-10.2813416269305
"dfrA23",-8.08384287981771
"dfrA24",-9.18266080286365
"dfrA25",-7.97844804590463
"dfrA26",-10.2813416269309
"dfrA27",-6.91308585566717
"dfrA3b",-8.48941081037566
"dfrA5",-4.35237989055607
"dfrA6",-10.281341626938
"dfrA7",-4.57741480700731
"dfrA8",-4.13647289265696
"dfrB1",-8.67176663836588
"dfrB4",-8.33522585759234
"dfrF",-10.2813416269302
"ere(A)",-6.94821146417852
"ere(B)",-8.4894108103733
"ere(C)",-10.2813416269391
"erm",-9.58816017908779
"erm-23S_rRNA",-9.18266080286844
"erm(42)",-7.44757986810834
"erm(B)",-4.56054682523461
"erm(C)",-10.2813416269326
"erm(F)",-10.2813416269368
"erm(T)",-7.64183873284383
"floR",-2.98424302599636
"fos",-7.50823877463784
"fosA",-5.03313166524852
"fosA3",-4.65513714628507
"fosA4",-7.88310361771242
"fosA5",-8.6717666383674
"fosA7",-5.03313166524763
"lnu",-9.58816017908871
"lnu(A)",-8.89494444629724
"lnu(B)",-7.28495807737006
"lnu(C)",-8.48941081037501
"lnu(F)",-5.61429805914787
"lnu(G)",-6.47317027227445
"mcr-1",-5.41713346013734
"mcr-1.1",-4.04339999151013
"mcr-1.2",-10.2813416269435
"mcr-1.4",-10.2813416269323
"mcr-1.5",-9.1826608028719
"mcr-1.7",-10.2813416269323
"mcr-2",-10.2813416269323
"mcr-3",-9.58816017909241
"mcr-3.1",-8.89494444630311
"mcr-3.2",-10.281341626938
"mcr-3.5",-9.18266080287031
"mcr-5.1",-8.67176663837255
"mef(B)",-5.65290189136852
"mef(C)",-9.58816017908779
"mph_3",-7.33628566001527
"mph(A)",-2.55854615606855
"mph(B)",-5.46496799270074
"mph(E)",-6.87915001039928
"mph(G)",-9.58816017908779
"msr(E)",-6.84632589047567
"oqxA",-4.59111279777007
"oqxA10",-10.2813416269345
"oqxA2",-6.08945707660802
"oqxA3",-10.2813416269435
"oqxB",-4.42301046580282
"oqxB19",-9.58816017909658
"oqxB2",-6.72482782303012
"oqxB25",-10.2813416269391
"oqxB29",-10.2813416269309
"oqxB5",-10.2813416269391
"qac",-10.2813416269435
"qacA",-10.2813416269369
"qacB",-9.58816017908762
"qacC",-9.18266080286465
"qacE",-5.24568158215264
"qacEdelta1",-1.89488886642561
"qacF",-9.18266080287277
"qacG2",-5.74558463211167
"qacL",-3.72224264064489
"qepA",-6.94821146418561
"qepA1",-7.33628566002145
"qnrA1",-7.28495807737407
"qnrB",-6.54226609321052
"qnrB1",-7.79605797048028
"qnrB10",-9.58816017909563
"qnrB19",-5.02782011884904
"qnrB2",-8.20166019081185
"qnrB4",-7.28495807737402
"qnrB6",-7.44757986811091
"qnrB7",-9.18266080286429
"qnrD1",-8.20166019081148
"qnrS",-6.72482782303733
"qnrS1",-3.62167070430645
"qnrS13",-9.58816017909375
"qnrS2",-6.32834878675228
"qnrS4",-9.58816017909231
"qnrVC1",-10.281341626938
"qnrVC4",-9.18266080286639
"rmtB",-10.2813416269319
"rmtB1",-5.61429805915219
"rmtB3",-10.2813416269378
"rmtC",-7.33628566001698
"rmtD1",-10.2813416269305
"rmtE",-9.18266080286709
"rmtE1",-8.67176663836707
"sat1",-4.3913319451623
"sat2",-3.15018077629756
"sat4",-10.2813416269435
"smr",-10.2813416269297
"sul1",-1.90944415421343
"sul2",-1.14502261378908
"sul3",-3.56001056857522
"tet",-6.45115704670787
"tet(31)",-8.89494444630406
"tet(41)",-9.18266080286755
"tet(A)",-1.48147838714191
