,threshold,specificity,sensitivity,accuracy,tn,tp,fn,fp,npv,ppv,fdr,fpr,tpr,tnr,fnr,1-specificity,1-sensitivity,1-accuracy,1-npv,1-ppv,precision,recall,youden,closest.topleft,is_best,model
67,0.068224848,0.992252511,0.260273973,0.984665625,6916,19,54,54,0.992252511,0.260273973,0.739726027,0.007747489,0.260273973,0.992252511,0.739726027,0.007747489,0.739726027,0.015334375,0.007747489,0.739726027,0.260273973,0.260273973,1.252526483,0.547254619,FALSE,glm
68,0.072468821,0.992395983,0.260273973,0.98480761,6917,19,54,53,0.992253622,0.263888889,0.736111111,0.007604017,0.260273973,0.992395983,0.739726027,0.007604017,0.739726027,0.01519239,0.007746378,0.736111111,0.263888889,0.260273973,1.252669955,0.547252417,FALSE,glm
69,0.074317316,0.992539455,0.260273973,0.984949595,6918,19,54,52,0.992254733,0.267605634,0.732394366,0.007460545,0.260273973,0.992539455,0.739726027,0.007460545,0.739726027,0.015050405,0.007745267,0.732394366,0.267605634,0.260273973,1.252813427,0.547250255,FALSE,glm
70,0.075826812,0.992682927,0.260273973,0.98509158,6919,19,54,51,0.992255844,0.271428571,0.728571429,0.007317073,0.260273973,0.992682927,0.739726027,0.007317073,0.739726027,0.01490842,0.007744156,0.728571429,0.271428571,0.260273973,1.252956899,0.547248135,FALSE,glm
71,0.080689186,0.992826399,0.260273973,0.985233565,6920,19,54,50,0.992256954,0.275362319,0.724637681,0.007173601,0.260273973,0.992826399,0.739726027,0.007173601,0.739726027,0.014766435,0.007743046,0.724637681,0.275362319,0.260273973,1.253100371,0.547246056,FALSE,glm
72,0.085289529,0.992969871,0.260273973,0.98537555,6921,19,54,49,0.992258065,0.279411765,0.720588235,0.007030129,0.260273973,0.992969871,0.739726027,0.007030129,0.739726027,0.01462445,0.007741935,0.720588235,0.279411765,0.260273973,1.253243843,0.547244018,FALSE,glm
73,0.093897043,0.993113343,0.260273973,0.985517535,6922,19,54,48,0.992259174,0.28358209,0.71641791,0.006886657,0.260273973,0.993113343,0.739726027,0.006886657,0.739726027,0.014482465,0.007740826,0.71641791,0.28358209,0.260273973,1.253387316,0.547242022,FALSE,glm
74,0.103256321,0.993256815,0.260273973,0.98565952,6923,19,54,47,0.992260284,0.287878788,0.712121212,0.006743185,0.260273973,0.993256815,0.739726027,0.006743185,0.739726027,0.01434048,0.007739716,0.712121212,0.287878788,0.260273973,1.253530788,0.547240066,FALSE,glm
75,0.106051139,0.993256815,0.246575342,0.985517535,6923,18,55,47,0.992118085,0.276923077,0.723076923,0.006743185,0.246575342,0.993256815,0.753424658,0.006743185,0.753424658,0.014482465,0.007881915,0.723076923,0.276923077,0.246575342,1.239832157,0.567694185,FALSE,glm
76,0.117932805,0.993400287,0.246575342,0.98565952,6924,18,55,46,0.992119215,0.28125,0.71875,0.006599713,0.246575342,0.993400287,0.753424658,0.006599713,0.753424658,0.01434048,0.007880785,0.71875,0.28125,0.246575342,1.239975629,0.567692271,FALSE,glm
77,0.128503072,0.993543759,0.246575342,0.985801505,6925,18,55,45,0.992120344,0.285714286,0.714285714,0.006456241,0.246575342,0.993543759,0.753424658,0.006456241,0.753424658,0.014198495,0.007879656,0.714285714,0.285714286,0.246575342,1.240119101,0.567690398,FALSE,glm
78,0.13189457,0.993974175,0.246575342,0.98622746,6928,18,55,42,0.992123729,0.3,0.7,0.006025825,0.246575342,0.993974175,0.753424658,0.006025825,0.753424658,0.01377254,0.007876271,0.7,0.3,0.246575342,1.240549518,0.567685025,FALSE,glm
79,0.137086017,0.994835007,0.246575342,0.98707937,6934,18,55,36,0.992130491,0.333333333,0.666666667,0.005164993,0.246575342,0.994835007,0.753424658,0.005164993,0.753424658,0.01292063,0.007869509,0.666666667,0.333333333,0.246575342,1.24141035,0.567675392,FALSE,glm
80,0.141392467,0.995121951,0.246575342,0.987363339,6936,18,55,34,0.992132742,0.346153846,0.653846154,0.004878049,0.246575342,0.995121951,0.753424658,0.004878049,0.753424658,0.012636661,0.007867258,0.653846154,0.346153846,0.246575342,1.241697294,0.56767251,FALSE,glm
81,0.14421141,0.995408895,0.246575342,0.987647309,6938,18,55,32,0.992134992,0.36,0.64,0.004591105,0.246575342,0.995408895,0.753424658,0.004591105,0.753424658,0.012352691,0.007865008,0.64,0.36,0.246575342,1.241984238,0.567669793,FALSE,glm
