mcr_group,pdt
MCR02,PDT000298061.1
MCR02,PDT000298067.1
MCR02,PDT000298068.1
MCR02,PDT000298069.1
MCR02,PDT000298071.1
MCR02,PDT000298072.1
MCR02,PDT000298073.1
MCR02,PDT000298074.1
MCR02,PDT000298075.1
MCR02,PDT000298076.1
MCR02,PDT000298077.1
MCR02,PDT000298078.1
MCR02,PDT000298079.1
MCR02,PDT000298085.1
MCR02,PDT000298087.1
MCR02,PDT000298090.1
MCR02,PDT000313447.1
MCR02,PDT000313448.1
MCR02,PDT000181469.3
MCR02,PDT000321278.1
MCR02,PDT000321279.1
MCR02,PDT000321291.1
MCR02,PDT000321293.1
MCR02,PDT000321294.1
MCR02,PDT000321295.1
MCR02,PDT000321298.1
MCR02,PDT000321305.1
MCR02,PDT000321306.1
MCR02,PDT000321307.1
MCR02,PDT000321308.1
MCR02,PDT000321312.1
MCR02,PDT000321315.1
MCR02,PDT000334835.1
MCR02,PDT000346531.1
MCR02,PDT000346533.1
MCR02,PDT000346538.1
MCR02,PDT000346539.1
MCR02,PDT000346540.1
MCR02,PDT000346541.1
MCR02,PDT000346543.1
MCR02,PDT000346544.1
MCR02,PDT000346546.1
MCR02,PDT000346547.1
MCR02,PDT000346548.1
MCR02,PDT000346551.1
MCR02,PDT000346554.1
MCR02,PDT000346555.1
MCR02,PDT000346558.1
MCR02,PDT000346562.1
MCR02,PDT000346563.1
MCR02,PDT000346566.1
MCR02,PDT000346568.1
MCR02,PDT000346570.1
MCR02,PDT000346571.1
MCR02,PDT000346573.1
MCR02,PDT000346577.1
MCR02,PDT000346583.1
MCR02,PDT000346584.1
MCR02,PDT000346585.1
MCR02,PDT000346587.1
MCR02,PDT000346590.1
MCR02,PDT000346591.1
MCR02,PDT000346592.1
MCR02,PDT000346593.1
MCR02,PDT000346594.1
MCR02,PDT000346595.1
MCR02,PDT000346596.1
MCR02,PDT000346597.1
MCR02,PDT000346598.1
MCR02,PDT000346602.1
MCR02,PDT000346603.1
MCR02,PDT000346605.1
MCR02,PDT000346612.1
MCR02,PDT000346613.1
MCR02,PDT000346616.1
MCR02,PDT000346619.1
MCR02,PDT000346621.1
MCR02,PDT000346627.1
MCR02,PDT000346632.1
MCR02,PDT000346635.1
MCR02,PDT000346636.1
MCR02,PDT000346639.1
MCR02,PDT000346640.1
MCR02,PDT000346641.1
MCR02,PDT000346642.1
MCR02,PDT000346643.1
MCR02,PDT000346652.1
MCR02,PDT000346654.1
MCR02,PDT000346655.1
MCR02,PDT000346656.1
MCR02,PDT000346659.1
MCR02,PDT000346660.1
MCR02,PDT000346662.1
MCR02,PDT000346663.1
MCR02,PDT000346666.1
MCR02,PDT000346667.1
MCR02,PDT000346668.1
MCR02,PDT000346671.1
MCR02,PDT000346672.1
MCR02,PDT000346676.1
MCR02,PDT000346679.1
MCR02,PDT000346680.1
MCR02,PDT000346786.1
MCR02,PDT000346789.1
MCR02,PDT000346809.1
MCR02,PDT000346811.1
MCR02,PDT000346817.1
MCR02,PDT000346821.1
MCR02,PDT000346823.1
MCR02,PDT000346824.1
