"","PDG","PDT","bioproject"
"203","PDG000000004.1046","PDT000009622.2","PRJNA129415"
"204","PDG000000004.1046","PDT000009623.2","PRJNA89667"
"205","PDG000000004.1046","PDT000009625.2","PRJNA129397"
"206","PDG000000004.1046","PDT000009624.2","PRJNA129413"
"207","PDG000000004.1046","PDT000009626.2","PRJNA129423"
"208","PDG000000004.1046","PDT000009627.2","PRJNA129427"
"209","PDG000000004.1046","PDT000009628.2","PRJNA47095"
"210","PDG000000004.1046","PDT000009630.2","PRJNA47099"
"211","PDG000000004.1046","PDT000009632.2","PRJNA47103"
"212","PDG000000004.1046","PDT000009633.2","PRJNA47105"
"213","PDG000000004.1046","PDT000009629.2","PRJNA47097"
"214","PDG000000004.1046","PDT000009631.2","PRJNA47101"
"215","PDG000000004.1046","PDT000009634.2","PRJNA47107"
"216","PDG000000004.1046","PDT000009635.2","PRJNA47109"
"217","PDG000000004.1046","PDT000011113.2","PRJNA89725"
"218","PDG000000004.1046","PDT000009755.2","PRJNA65939"
"219","PDG000000004.1046","PDT000009732.2","PRJNA65859"
"220","PDG000000004.1046","PDT000009748.2","PRJNA65909"
"221","PDG000000004.1046","PDT000009756.2","PRJNA65941"
"222","PDG000000004.1046","PDT000009743.2","PRJNA65899"
"223","PDG000000004.1046","PDT000009740.2","PRJNA65885"
"224","PDG000000004.1046","PDT000009745.2","PRJNA65903"
"225","PDG000000004.1046","PDT000009746.2","PRJNA65905"
"226","PDG000000004.1046","PDT000009750.2","PRJNA65913"
"227","PDG000000004.1046","PDT000009769.2","PRJNA49113"
"228","PDG000000004.1046","PDT000010210.2","PRJNA65929"
"229","PDG000000004.1046","PDT000007820.2","PRJDA52077"
"230","PDG000000004.1046","PDT000011126.2","PRJNA40075"
"231","PDG000000004.1046","PDT000009665.2","PRJNA129393"
"232","PDG000000004.1046","PDT000009666.2","PRJNA129401"
"233","PDG000000004.1046","PDT000009671.2","PRJNA129431"
"234","PDG000000004.1046","PDT000009670.2","PRJNA129429"
"235","PDG000000004.1046","PDT000009667.2","PRJNA129407"
"236","PDG000000004.1046","PDT000009672.2","PRJNA94343"
"237","PDG000000004.1046","PDT000009668.2","PRJNA129417"
"238","PDG000000004.1046","PDT000009669.2","PRJNA129425"
"239","PDG000000004.1046","PDT000008783.2","PRJNA48267"
"240","PDG000000004.1046","PDT000008023.2","PRJNA33825"
"241","PDG000000004.1046","PDT000011342.2","PRJEA66487"
"242","PDG000000004.1046","PDT000009301.2","PRJNA39031"
"243","PDG000000004.1046","PDT000009302.2","PRJNA38929"
"244","PDG000000004.1046","PDT000008395.2","PRJNA81097"
"245","PDG000000004.1046","PDT000008193.2","PRJNA81099"
"246","PDG000000004.1046","PDT000008195.2","PRJNA81095"
"247","PDG000000004.1046","PDT000008683.2","PRJNA60057"
"248","PDG000000004.1046","PDT000008808.2","PRJNA50915"
"249","PDG000000004.1046","PDT000009321.2","PRJNA50903"
"250","PDG000000004.1046","PDT000009323.2","PRJNA50907"
"251","PDG000000004.1046","PDT000009324.2","PRJNA50909"
"252","PDG000000004.1046","PDT000009325.2","PRJNA50911"
"253","PDG000000004.1046","PDT000009328.2","PRJNA50919"
"254","PDG000000004.1046","PDT000009329.2","PRJNA50921"
"255","PDG000000004.1046","PDT000009331.2","PRJNA50925"
"256","PDG000000004.1046","PDT000009330.2","PRJNA50923"
"257","PDG000000004.1046","PDT000009339.2","PRJNA50941"
"258","PDG000000004.1046","PDT000009343.2","PRJNA50949"
"259","PDG000000004.1046","PDT000009344.2","PRJNA50951"
"260","PDG000000004.1046","PDT000009342.2","PRJNA50947"
"261","PDG000000004.1046","PDT000009345.2","PRJNA50953"
"262","PDG000000004.1046","PDT000009346.2","PRJNA50955"
"263","PDG000000004.1046","PDT000009351.2","PRJNA50965"
"264","PDG000000004.1046","PDT000009352.2","PRJNA50967"
"265","PDG000000004.1046","PDT000009353.2","PRJNA50969"
"266","PDG000000004.1046","PDT000009354.2","PRJNA50973"
"267","PDG000000004.1046","PDT000009355.2","PRJNA50975"
"268","PDG000000004.1046","PDT000009356.2","PRJNA50977"
"269","PDG000000004.1046","PDT000009360.2","PRJNA50985"
"270","PDG000000004.1046","PDT000009362.2","PRJNA50989"
"271","PDG000000004.1046","PDT000009363.2","PRJNA50991"
"272","PDG000000004.1046","PDT000009365.2","PRJNA50995"
"273","PDG000000004.1046","PDT000009364.2","PRJNA50993"
"274","PDG000000004.1046","PDT000009371.2","PRJNA51007"
"275","PDG000000004.1046","PDT000009373.2","PRJNA51011"
"276","PDG000000004.1046","PDT000009374.2","PRJNA51013"
"277","PDG000000004.1046","PDT000009372.2","PRJNA51009"
"278","PDG000000004.1046","PDT000009376.2","PRJNA51017"
"279","PDG000000004.1046","PDT000009377.2","PRJNA51019"
"280","PDG000000004.1046","PDT000009381.2","PRJNA51027"
"281","PDG000000004.1046","PDT000009382.2","PRJNA51029"
"282","PDG000000004.1046","PDT000009383.2","PRJNA51031"
"283","PDG000000004.1046","PDT000009384.2","PRJNA51033"
"284","PDG000000004.1046","PDT000009385.2","PRJNA51035"
"285","PDG000000004.1046","PDT000009386.2","PRJNA51037"
"286","PDG000000004.1046","PDT000009387.2","PRJNA51039"
"287","PDG000000004.1046","PDT000009388.2","PRJNA51043"
"288","PDG000000004.1046","PDT000009390.2","PRJNA51047"
"289","PDG000000004.1046","PDT000009391.2","PRJNA51049"
"290","PDG000000004.1046","PDT000009392.2","PRJNA51053"
"291","PDG000000004.1046","PDT000009393.2","PRJNA51055"
"292","PDG000000004.1046","PDT000009394.2","PRJNA51057"
"293","PDG000000004.1046","PDT000009395.2","PRJNA51059"
"294","PDG000000004.1046","PDT000009396.2","PRJNA51061"
"295","PDG000000004.1046","PDT000009541.2","PRJNA82801"
"296","PDG000000004.1046","PDT000010164.2","PRJNA65779"
"297","PDG000000004.1046","PDT000010165.2","PRJNA65847"
"298","PDG000000004.1046","PDT000010153.2","PRJNA157425"
"299","PDG000000004.1046","PDT000008729.2","PRJNA51125"
"300","PDG000000004.1046","PDT000008734.2","PRJNA51135"
"301","PDG000000004.1046","PDT000008713.2","PRJNA51085"
"302","PDG000000004.1046","PDT000008714.2","PRJNA51087"
"303","PDG000000004.1046","PDT000008715.2","PRJNA51089"
"304","PDG000000004.1046","PDT000008717.2","PRJNA51097"
"305","PDG000000004.1046","PDT000008718.2","PRJNA51101"
"306","PDG000000004.1046","PDT000008720.2","PRJNA51105"
"307","PDG000000004.1046","PDT000008721.2","PRJNA51107"
"308","PDG000000004.1046","PDT000008722.2","PRJNA51109"
"309","PDG000000004.1046","PDT000008723.2","PRJNA51111"
"310","PDG000000004.1046","PDT000008724.2","PRJNA51113"
"311","PDG000000004.1046","PDT000008725.2","PRJNA51115"
"312","PDG000000004.1046","PDT000008727.2","PRJNA51121"
"313","PDG000000004.1046","PDT000008728.2","PRJNA51123"
"314","PDG000000004.1046","PDT000008730.2","PRJNA51127"
"315","PDG000000004.1046","PDT000008731.2","PRJNA51129"
"316","PDG000000004.1046","PDT000008732.2","PRJNA51131"
"317","PDG000000004.1046","PDT000008735.2","PRJNA51137"
"318","PDG000000004.1046","PDT000008733.2","PRJNA51133"
"319","PDG000000004.1046","PDT000008259.2","PRJNA45823"
"320","PDG000000004.1046","PDT000008276.2","PRJNA15639"
"321","PDG000000004.1046","PDT000010440.2","PRJEB50"
"322","PDG000000004.1046","PDT000008716.2","PRJNA51091"
"323","PDG000000004.1046","PDT000008719.2","PRJNA51103"
"324","PDG000000004.1046","PDT000010314.2","PRJNA65737"
"325","PDG000000004.1046","PDT000010315.2","PRJNA65741"
