"","Genotype","Gain","Loss","Isolate_Count","rate","net_gain","net_loss","cluster","category"
"294","dfrF",1,0,1,1,1,0,"1","TBD"
"295","ere(A)",26,0,28,1.07692307692308,28,0,"2","GC"
"296","ere(B)",6,0,6,1,6,0,"2","GC"
"297","ere(C)",1,0,1,1,1,0,"1","TBD"
"298","erm",2,0,2,1,2,0,"1","TBD"
"299","erm-23S_rRNA",3,0,3,1,3,0,"1","TBD"
"300","erm(42)",17,0,17,1,17,0,"2","GC"
"301","erm(B)",246,1,302,1.23265306122449,303.232653061224,1.23265306122449,"4","GC"
"302","erm(C)",1,0,1,1,1,0,"1","TBD"
"303","erm(F)",1,0,1,1,1,0,"1","TBD"
"304","erm(T)",13,0,14,1.07692307692308,14,0,"2","GC"
"305","floR",866,44,1410,1.71532846715328,1485.47445255474,75.4744525547445,"3","SS"
"306","fos",12,0,16,1.33333333333333,16,0,"2","GC"
"307","fosA",92,8,189,2.25,207,18,"4","GC"
"308","fosA3",177,7,276,1.62352941176471,287.364705882353,11.3647058823529,"4","GC"
"309","fosA4",11,0,11,1,11,0,"2","GC"
"310","fosA5",5,0,5,1,5,0,"2","GC"
"311","fosA7",49,35,190,13.5714285714286,665,475,"3","SS"
"312","lnu",2,0,2,1,2,0,"1","TBD"
"313","lnu(A)",4,0,4,1,4,0,"2","GC"
"314","lnu(B)",20,0,20,1,20,0,"2","GC"
"315","lnu(C)",6,0,6,1,6,0,"2","GC"
"316","lnu(F)",100,0,107,1.07,107,0,"4","GC"
"317","lnu(G)",42,0,45,1.07142857142857,45,0,"2","GC"
"318","mcr-1",118,0,129,1.09322033898305,129,0,"4","GC"
"319","mcr-1.1",363,8,504,1.41971830985916,515.357746478873,11.3577464788732,"4","GC"
"320","mcr-1.2",1,0,1,1,1,0,"1","TBD"
"321","mcr-1.4",1,0,1,1,1,0,"1","TBD"
"322","mcr-1.5",2,0,3,1.5,3,0,"1","TBD"
"323","mcr-1.7",1,0,1,1,1,0,"1","TBD"
"324","mcr-2",1,0,1,1,1,0,"1","TBD"
"325","mcr-3",2,0,2,1,2,0,"1","TBD"
"326","mcr-3.1",4,0,4,1,4,0,"2","GC"
"327","mcr-3.2",1,0,1,1,1,0,"1","TBD"
"328","mcr-3.5",4,0,4,1,4,0,"2","GC"
"329","mcr-5.1",3,0,5,1.66666666666667,5,0,"2","GC"
"330","mef(B)",87,0,102,1.17241379310345,102,0,"4","GC"
"331","mef(C)",2,0,2,1,2,0,"1","TBD"
"332","mph_3",18,0,19,1.05555555555556,19,0,"2","GC"
"333","mph(A)",858,196,2104,3.17824773413897,2726.93655589124,622.936555891239,"3","SS"
"334","mph(B)",87,0,124,1.42528735632184,124,0,"4","GC"
"335","mph(E)",27,0,30,1.11111111111111,30,0,"2","GC"
"336","mph(G)",2,0,2,1,2,0,"1","TBD"
"337","msr(E)",28,0,31,1.10714285714286,31,0,"2","GC"
"338","oqxA",204,6,297,1.5,306,9,"4","GC"
"339","oqxA10",1,0,1,1,1,0,"1","TBD"
"340","oqxA2",62,0,66,1.06451612903226,66,0,"4","GC"
"341","oqxA3",1,0,1,1,1,0,"1","TBD"
"342","oqxB",227,9,348,1.59633027522936,362.366972477064,14.3669724770642,"4","GC"
"343","oqxB19",1,0,2,2,2,0,"1","TBD"
"344","oqxB2",33,0,35,1.06060606060606,35,0,"2","GC"
"345","oqxB25",1,0,1,1,1,0,"1","TBD"
"346","oqxB29",1,0,1,1,1,0,"1","TBD"
"347","oqxB5",1,0,1,1,1,0,"1","TBD"
"348","qac",1,0,1,1,1,0,"1","TBD"
"349","qacA",1,0,1,1,1,0,"1","TBD"
"350","qacB",2,0,2,1,2,0,"1","TBD"
"351","qacC",3,0,3,1,3,0,"1","TBD"
"352","qacE",144,1,154,1.07692307692308,155.076923076923,1.07692307692308,"4","GC"
"353","qacEdelta1",1536,287,3827,3.06405124099279,4706.38270616493,879.382706164932,"3","SS"
"354","qacF",3,0,3,1,3,0,"1","TBD"
"355","qacG2",77,2,94,1.25333333333333,96.5066666666667,2.50666666666667,"4","GC"
"356","qacL",469,16,689,1.52097130242826,713.335540838852,24.3355408388521,"3","SS"
"357","qepA",23,1,28,1.27272727272727,29.2727272727273,1.27272727272727,"2","GC"
"358","qepA1",18,0,19,1.05555555555556,19,0,"2","GC"
"359","qnrA1",19,0,20,1.05263157894737,20,0,"2","GC"
"360","qnrB",37,1,42,1.16666666666667,43.1666666666667,1.16666666666667,"2","GC"
"361","qnrB1",12,0,12,1,12,0,"2","GC"
"362","qnrB10",2,0,2,1,2,0,"1","TBD"
"363","qnrB19",167,2,191,1.15757575757576,193.315151515152,2.31515151515151,"4","GC"
"364","qnrB2",8,0,8,1,8,0,"2","GC"
"365","qnrB4",15,0,20,1.33333333333333,20,0,"2","GC"
"366","qnrB6",17,0,17,1,17,0,"2","GC"
"367","qnrB7",3,0,3,1,3,0,"1","TBD"
"368","qnrD1",7,0,8,1.14285714285714,8,0,"2","GC"
"369","qnrS",34,0,35,1.02941176470588,35,0,"2","GC"
"370","qnrS1",524,7,760,1.47001934235977,770.290135396518,10.2901353965184,"3","SS"
"371","qnrS13",2,0,2,1,2,0,"1","TBD"
"372","qnrS2",50,0,52,1.04,52,0,"2","GC"
"373","qnrS4",2,0,2,1,2,0,"1","TBD"
"374","qnrVC1",1,0,1,1,1,0,"1","TBD"
"375","qnrVC4",3,0,3,1,3,0,"1","TBD"
"376","rmtB",1,0,1,1,1,0,"1","TBD"
"377","rmtB1",83,1,107,1.30487804878049,108.30487804878,1.30487804878049,"4","GC"
"378","rmtB3",1,0,1,1,1,0,"1","TBD"
"379","rmtC",15,0,19,1.26666666666667,19,0,"2","GC"
"380","rmtD1",1,0,1,1,1,0,"1","TBD"
"381","rmtE",3,0,3,1,3,0,"1","TBD"
"382","rmtE1",4,0,5,1.25,5,0,"2","GC"
"383","sat1",227,20,357,1.72463768115942,391.492753623188,34.4927536231884,"4","GC"
"384","sat2",365,122,1201,4.94238683127572,1803.97119341564,602.971193415638,"3","SS"
"385","sat4",1,0,1,1,1,0,"1","TBD"
"386","smr",1,0,1,1,1,0,"1","TBD"
